
applicant_id,application_date,loan_amount,loan_purpose,approved
A001,2026-01-01,50000,education,1
A001,2026-01-20,60000,personal,0
A002,2026-01-05,30000,medical,1
A002,2026-01-25,25000,medical,1
A003,2026-01-03,80000,personal,0
A003,2026-01-15,90000,personal,0
A004,2026-01-02,40000,education,1
A005,2026-01-07,70000,travel,0
A005,2026-01-18,65000,travel,0
A006,2026-01-10,20000,medical,1
A006,2026-01-22,25000,personal,1
A007,2026-01-06,100000,personal,0
A008,2026-01-08,55000,education,1
A008,2026-01-28,50000,education,1
A009,2026-01-09,45000,medical,0
A010,2026-01-11,60000,travel,1
